Column1,Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl,dict_stress,has_suffix
161,Elise,97.3296,97.3596,d,96.8696,97.3896,bilinidu,95.3296,99.36935963,bizgimu bizgimu tes bilinidu mesilen mangimu tes bilinetti bashta,consonant,97.333,97.366,1,4,4,1,0,1,1
162,Elise,97.5096,97.5396,l,97.3896,97.7096,mesilen,95.3296,99.36935963,bizgimu bizgimu tes bilinidu mesilen mangimu tes bilinetti bashta,consonant,97.5,97.533,1,3,3,1,1,3,0
163,Elise,97.7096,97.7396,m,97.7096,97.9596,mangimu,95.3296,99.36935963,bizgimu bizgimu tes bilinidu mesilen mangimu tes bilinetti bashta,consonant,97.7,97.733,0,3,1,1,0,1,1
164,Elise,114.4925,114.6025,u,113.7525,114.6025,jahilliqmu,113.7525,117.0531047,jahilliqmu bek muhim jahilliq choqum muhim,vowel,114.533,114.566,1,4,4,0,0,,1
165,Elise,115.5725,115.6425,l,115.1925,115.8325,jahilliq,113.7525,117.0531047,jahilliqmu bek muhim jahilliq choqum muhim,consonant,115.566,115.6,1,3,3,1,1,,0
166,Elise,115.6925,115.8325,q,115.1925,115.8325,jahilliq,113.7525,117.0531047,jahilliqmu bek muhim jahilliq choqum muhim,consonant,115.7,115.733,1,3,3,0,1,,0
167,Elise,115.9014334,116.0825,t͡ʃ,115.9014334,116.3825,choqum,113.7525,117.0531047,jahilliqmu bek muhim jahilliq choqum muhim,consonant,115.966,116,0,2,1,1,0,2,0
168,Elise,116.1225,116.1525,q,115.9014334,116.3825,choqum,113.7525,117.0531047,jahilliqmu bek muhim jahilliq choqum muhim,consonant,116.133,116.166,1,2,2,1,1,2,0
169,Elise,118.5151,118.6051,q,118.3551,118.7551,choqum,118.3551,120.1426,choqum öginimen bel baghlap,consonant,118.533,118.566,1,2,2,1,1,2,0
170,Elise,118.8951,118.9351,i,118.7551,119.2151,öginimen,118.3551,120.1426,choqum öginimen bel baghlap,vowel,118.9,118.933,0,4,2,0,0,1,1
171,Elise,119.6051,119.7651,ʁ,119.4751,120.1426,baghlap,118.3551,120.1426,choqum öginimen bel baghlap,consonant,119.666,119.7,0,2,1,0,1,1,1
172,Elise,120.1426,124.341648,,120.1426,124.341648,,120.1426,120.3037307,,consonant,120.533,120.566,,,,,,,
173,Elise,120.1426,124.341648,,120.1426,124.341648,,120.1426,120.3037307,,consonant,120.833,120.866,,,,,,,
174,Elise,120.1426,124.341648,,120.1426,124.341648,,120.1426,120.3037307,,consonant,121,121.033,,,,,,,
175,Elise,120.1426,124.341648,,120.1426,124.341648,,120.1426,120.3037307,,consonant,121.366,121.4,,,,,,,
176,Elise,124.341648,124.6167,o,124.341648,124.9767,oqutquchi,124.341648,128.2694,oqutquchi zalim bolsa oqughuchi alim bolar,vowel,123.2,123.233,0,4,1,0,0,2,0
177,Elise,124.6567,124.6867,u,124.341648,124.9767,oqutquchi,124.341648,128.2694,oqutquchi zalim bolsa oqughuchi alim bolar,vowel,124.666,124.7,0,4,2,0,1,2,0
178,Elise,243.6392,243.7492,u,243.5192,243.7492,ashu,243.51726,246.5611147,ashu méning uyghurlargha deydighinim shu oxshash,vowel,243.6,243.633,1,2,2,0,0,1,0
179,Elise,244.0492,244.1792,u,244.0492,244.9992,uyghurlargha,243.51726,246.5611147,ashu méning uyghurlargha deydighinim shu oxshash,vowel,244.1,244.133,0,4,1,0,1,1,1
180,Elise,244.6692,244.9992,a,244.0492,244.9992,uyghurlargha,243.51726,246.5611147,ashu méning uyghurlargha deydighinim shu oxshash,vowel,244.833,244.866,1,4,4,0,0,1,1
181,Elise,245.0892,245.1792,j,244.9992,245.7092,deydighinim,243.51726,246.5611147,ashu méning uyghurlargha deydighinim shu oxshash,consonant,245.133,245.166,0,4,1,0,1,1,1
182,Elise,245.9192,246.0292,o,245.9192,246.5592,oxshash,243.51726,246.5611147,ashu méning uyghurlargha deydighinim shu oxshash,vowel,245.966,246,0,2,1,0,1,1,1
183,Elise,248.6794931,248.8355494,a,248.289265,249.3037822,unutmanglar,246.8957,255.5161517,shu uyghur tilini unutmanglar a baliliringlargha ögitip qoyunglar andin héliqi atalmish chet'elliklerge shu,vowel,248.666,248.7,0,4,3,0,1,,1
184,Elise,249.5527843,249.6063692,b,249.5527843,250.4968476,baliliringlargha,246.8957,255.5161517,shu uyghur tilini unutmanglar a baliliringlargha ögitip qoyunglar andin héliqi atalmish chet'elliklerge shu,consonant,249.466,249.5,0,6,1,1,0,1,1
185,Elise,250.7605676,250.820827,i,250.4968476,250.9314539,ögitip,246.8957,255.5161517,shu uyghur tilini unutmanglar a baliliringlargha ögitip qoyunglar andin héliqi atalmish chet'elliklerge shu,vowel,250.733,250.766,1,3,3,0,1,1,1
186,Elise,254.235939,254.3303454,t͡ʃ,254.235939,255.2565729,chet'elliklerge,246.8957,255.5161517,shu uyghur tilini unutmanglar a baliliringlargha ögitip qoyunglar andin héliqi atalmish chet'elliklerge shu,consonant,254.166,254.2,0,5,1,1,1,3,1
187,Elise,254.4524552,254.5050842,t,254.235939,255.2565729,chet'elliklerge,246.8957,255.5161517,shu uyghur tilini unutmanglar a baliliringlargha ögitip qoyunglar andin héliqi atalmish chet'elliklerge shu,consonant,254.466,254.5,0,5,1,0,1,3,1
188,Elise,254.7459394,254.8047601,i,254.235939,255.2565729,chet'elliklerge,246.8957,255.5161517,shu uyghur tilini unutmanglar a baliliringlargha ögitip qoyunglar andin héliqi atalmish chet'elliklerge shu,vowel,254.766,254.8,0,5,3,0,1,3,1
189,Elise,254.9493963,255.0051211,l,254.235939,255.2565729,chet'elliklerge,246.8957,255.5161517,shu uyghur tilini unutmanglar a baliliringlargha ögitip qoyunglar andin héliqi atalmish chet'elliklerge shu,consonant,254.966,255,0,5,4,1,1,3,1
