Column1,Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl,dict_stress,has_suffix
75,Gulnisa,181.08,181.14,p,180.93,181.69,aspirantorgha,178.3196669,184.3241313,köpliri manga dégenti men ashu uyghurche shu aspirantorgha kirip he shu dissértatsiyisi,consonant,181.133,181.166,0,5,2,1,0,,1
76,Gulnisa,182.5093097,182.91,ɛ,182.4660466,182.91,he,178.3196669,184.3241313,köpliri manga dégenti men ashu uyghurche shu aspirantorgha kirip he shu dissértatsiyisi,consonant,182.666,182.7,1,1,1,0,0,1,0
77,Gulnisa,183.29,183.34,i,183.11,184.3241313,dissértatsiyisi,178.3196669,184.3241313,köpliri manga dégenti men ashu uyghurche shu aspirantorgha kirip he shu dissértatsiyisi,vowel,183.3,183.333,0,6,1,0,0,,1
78,Gulnisa,185.3416,185.4416,q,185.3416,185.7516,qilghanda,184.7722137,188.3416,mushundaq ishlarni qilghanda uyghurchini oqup nege baratti bu qiz deyti,consonant,185.4,185.433,0,3,1,1,1,,1
79,Gulnisa,186.7616,186.9216,ɛ,186.6916,187.0216,nege,184.7722137,188.3416,mushundaq ishlarni qilghanda uyghurchini oqup nege baratti bu qiz deyti,consonant,186.866,186.9,0,2,1,0,0,,0
80,Gulnisa,188.7221,188.7921,k,188.6321,188.8621,lékin,188.3416,188.6323812,,consonant,188.766,188.8,1,2,2,1,1,2,0
81,Gulnisa,189.1421,189.2221,m,189.0721,189.5421,amérikigha,188.6323812,190.9227153,lékin mana amérikigha kélip ders ötiwatimen mana,consonant,189.166,189.2,0,5,2,1,0,2,1
82,Gulnisa,189.6821,189.7421,p,189.5421,189.7421,kélip,188.6323812,190.9227153,lékin mana amérikigha kélip ders ötiwatimen mana,consonant,189.733,189.766,1,2,2,0,1,1,1
83,Gulnisa,192.5386,192.6386,ʃ,192.4486,192.9086,pishanigha,192.1865,192.449031,,consonant,192.566,192.6,0,4,2,1,0,,1
84,Gulnisa,192.8686,192.9086,a,192.4486,192.9086,pishanigha,192.1865,192.449031,,vowel,192.9,192.933,1,4,4,0,0,,1
85,Gulnisa,194.9314,195.0014,p,194.7314,195.0014,oqup,194.3708317,198.7214,ashundaq oqup qoysanglar bir küni emes bir küni shu paydisi tégip qalidu,consonant,194.933,194.966,1,2,2,0,1,1,1
86,Gulnisa,196.1714,196.2514,k,196.1714,196.3614,küni,194.3708317,198.7214,ashundaq oqup qoysanglar bir küni emes bir küni shu paydisi tégip qalidu,consonant,196.2,196.233,0,2,1,1,0,1,1
87,Gulnisa,196.7214,196.8114,k,196.7214,196.9014,küni,194.3708317,198.7214,ashundaq oqup qoysanglar bir küni emes bir küni shu paydisi tégip qalidu,consonant,196.733,196.766,0,2,1,1,0,1,1
88,Gulnisa,197.0114,197.1722312,u,196.9014,197.1722312,shu,194.3708317,198.7214,ashundaq oqup qoysanglar bir küni emes bir küni shu paydisi tégip qalidu,vowel,197.166,197.2,1,1,1,0,0,1,0
89,Gulnisa,199.1321,199.2421,z,199.0321,199.2421,biz,199.0317335,202.0621,biz bilmeymiz kelgüside mesilen siler,consonant,199.2,199.233,1,1,1,0,1,1,0
90,Gulnisa,200.2121,200.2921,ɛ,200.1221,200.9421,kelgüside,199.0317335,202.0621,biz bilmeymiz kelgüside mesilen siler,consonant,200.233,200.266,0,1,1,0,1,1,1
91,Gulnisa,200.6621,200.9421,ɛ,200.1221,200.9421,kelgüside,199.0317335,202.0621,biz bilmeymiz kelgüside mesilen siler,consonant,200.666,200.7,1,4,4,0,1,1,1
92,Gulnisa,201.4321,201.4721,l,201.1921,201.5821,mesilen,199.0317335,202.0621,biz bilmeymiz kelgüside mesilen siler,consonant,201.433,201.466,1,3,3,1,1,3,0
93,Gulnisa,201.9121,202.0621,r,201.5821,202.0621,siler,199.0317335,202.0621,biz bilmeymiz kelgüside mesilen siler,consonant,201.966,202,1,2,2,0,1,2,0
94,Gulnisa,202.3643,202.5543,b,202.3643,202.7443,bizning,202.0621,202.3649543,,consonant,202.5,202.533,0,2,1,1,1,1,1
95,Gulnisa,202.8543,202.9043,ɛ,202.7443,203.2643,teghdirimiz,202.3649543,208.549,bizning teghdirimiz qandaq bolar belkim xudayim buyrusa weten azad bolap mutexesisler kérek bop qalar shundaqmu,consonant,202.866,202.9,0,4,1,0,1,,1
96,Gulnisa,203.1543,203.2043,i,202.7443,203.2643,teghdirimiz,202.3649543,208.549,bizning teghdirimiz qandaq bolar belkim xudayim buyrusa weten azad bolap mutexesisler kérek bop qalar shundaqmu,vowel,203.166,203.2,1,4,4,0,1,,1
97,Gulnisa,204.3443,204.4143,k,204.1743,204.5143,belkim,202.3649543,208.549,bizning teghdirimiz qandaq bolar belkim xudayim buyrusa weten azad bolap mutexesisler kérek bop qalar shundaqmu,consonant,204.4,204.433,1,2,2,1,1,1,0
98,Gulnisa,204.7543,204.7843,i,204.5143,204.8143,xudayim,202.3649543,208.549,bizning teghdirimiz qandaq bolar belkim xudayim buyrusa weten azad bolap mutexesisler kérek bop qalar shundaqmu,vowel,204.766,204.8,1,3,3,0,1,2,1
99,Gulnisa,206.8843,206.9643,s,206.3943,207.0543,mutexesisler,202.3649543,208.549,bizning teghdirimiz qandaq bolar belkim xudayim buyrusa weten azad bolap mutexesisler kérek bop qalar shundaqmu,consonant,206.933,206.966,0,5,4,0,1,,1
100,Gulnisa,209.5781,209.6681,b,209.5781,210.0881,bashqurush,208.9481,210.6681,shu wetenni bashqurush kérek,consonant,209.633,209.666,0,3,1,1,1,,1
101,Gulnisa,211.6937,211.7337,j,211.6337,212.0237,uyghurche,211.1437391,213.1637,ishlarni uyghurche yürgüzüsh kérek,consonant,211.7,211.733,0,3,1,0,1,1,1
102,Gulnisa,214.0628,214.1728,u,214.0628,214.3728,untup,213.48272,215.92825,shunga tilni untup qalmasliq kérek emdi til dégen,vowel,214.133,214.166,0,2,1,0,1,1,1
103,Gulnisa,216.5464,216.5964,r,216.1864,216.6964,uyghurlarning,216.1862836,218.8748263,uyghurlarning emdi medeniyetning muhim bir parchisi,consonant,216.566,216.6,0,4,3,0,1,1,1
104,Gulnisa,216.8364,216.8664,d,216.6964,216.8964,emdi,216.1862836,218.8748263,uyghurlarning emdi medeniyetning muhim bir parchisi,consonant,216.866,216.9,1,2,2,1,0,1,0
105,Gulnisa,217.0664,217.1464,ɛ,216.8964,217.620944,medeniyetning,216.1862836,218.8748263,uyghurlarning emdi medeniyetning muhim bir parchisi,consonant,217.1,217.133,0,4,2,0,0,,1
106,Gulnisa,217.8164,217.8764,m,217.8164,218.1564,muhim,216.1862836,218.8748263,uyghurlarning emdi medeniyetning muhim bir parchisi,consonant,217.833,217.866,0,2,1,1,0,2,0
107,Gulnisa,218.0864,218.1564,m,217.8164,218.1564,muhim,216.1862836,218.8748263,uyghurlarning emdi medeniyetning muhim bir parchisi,consonant,218.133,218.166,1,2,2,0,1,2,0
108,Gulnisa,218.3964,218.4264,p,218.3964,218.8764,parchisi,216.1862836,218.8748263,uyghurlarning emdi medeniyetning muhim bir parchisi,consonant,218.4,218.433,0,3,1,1,1,,1
109,Gulnisa,218.8764,219.6846,,218.8764,219.6846,,218.8748263,219.6846,,consonant,219.666,219.7,,,,,,,
110,Gulnisa,220.1146,220.1646,i,219.8746,220.5468764,bilmise,219.6846,223.1391,til bilmise démek bu medeniyetni yoqatti dégen gep,vowel,220.133,220.166,0,3,2,0,0,1,1
111,Gulnisa,221.4646,221.5246,n,221.2246,221.8945166,medeniyetni,219.6846,223.1391,til bilmise démek bu medeniyetni yoqatti dégen gep,consonant,221.466,221.5,0,5,3,1,0,,1
112,Gulnisa,221.8945166,222.1346,,221.8945166,222.1346,,219.6846,223.1391,til bilmise démek bu medeniyetni yoqatti dégen gep,consonant,222,222.033,,,,,,,
113,Gulnisa,222.2446,222.3446,q,222.1346,222.5646,yoqatti,219.6846,223.1391,til bilmise démek bu medeniyetni yoqatti dégen gep,consonant,222.3,222.333,0,3,2,1,1,,1
114,Gulnisa,223.7466,223.8666,t,223.7466,224.0166,til,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,223.766,223.8,1,1,1,1,1,1,0
115,Gulnisa,225.2966,225.3566,ɛ,225.1966,225.4666,sen,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,225.3,225.333,1,1,1,0,1,1,0
116,Gulnisa,226.0466,226.1166,n,225.9466,226.1166,men,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,226.066,226.1,1,1,1,0,1,1,0
117,Gulnisa,226.2966,226.3966,ʁ,226.1466,226.4766,uyghur,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,226.333,226.366,1,2,2,0,1,1,0
118,Gulnisa,226.6766,226.7466,ɛ,226.4766,226.7466,dese,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,226.7,226.733,1,2,2,0,0,1,1
119,Gulnisa,227.7666,228.0066,,227.7666,228.0066,,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,227.833,227.866,,,,,,,
120,Gulnisa,228.1266,228.2166,z,228.0966,228.3066,özini,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,228.166,228.2,0,3,2,1,0,1,1
121,Gulnisa,228.5266,228.5766,a,228.3066,228.6966,qandaq,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,vowel,228.566,228.6,1,2,2,0,1,1,0
122,Gulnisa,229.01726,229.0883351,r,228.6966,229.0883351,uyghur,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,229.033,229.066,1,2,2,0,1,1,0
123,Gulnisa,229.0883351,229.4966,,229.0883351,229.4966,,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,229.366,229.4,,,,,,,
124,Gulnisa,229.5766,229.6766,p,229.4966,229.6766,dep,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,229.633,229.666,1,1,1,0,1,1,1
125,Gulnisa,230.5666,230.6466,l,230.3266,230.7166,tilni,223.5066,231.4567368,eger til bilmise sen sen kim dése men uyghur dese uyghurche bilmise u özini qandaq uyghur dep éytalaydu tilni bilish kérek,consonant,230.633,230.666,1,2,1,0,1,1,1
126,Gulnisa,232.7862,233.0062,ʃ,232.7862,233.0562,shu,232.1962,234.0262,eng muhimi shu tilni untumanglar,consonant,232.833,232.866,1,1,1,1,0,1,0
127,Gulnisa,233.1762,233.2862,i,233.0562,233.2862,tilni,232.1962,234.0262,eng muhimi shu tilni untumanglar,vowel,233.2,233.233,1,2,2,0,0,1,1
128,Gulnisa,235.3538,235.6638,,235.3538,235.6638,,234.5634473,239.6338,mushu etraptiki mushu dostunglarghimu uyghurche ögitinglar uyghurlar toghriliq köprek sözlep béringlar,consonant,235.533,235.566,,,,,,,
129,Gulnisa,237.6838,237.8038,a,237.3738,237.8338,uyghurlar,234.5634473,239.6338,mushu etraptiki mushu dostunglarghimu uyghurche ögitinglar uyghurlar toghriliq köprek sözlep béringlar,vowel,237.766,237.8,1,3,3,0,1,1,1
130,Gulnisa,238.0838,238.1838,q,237.8338,238.1838,toghriliq,234.5634473,239.6338,mushu etraptiki mushu dostunglarghimu uyghurche ögitinglar uyghurlar toghriliq köprek sözlep béringlar,consonant,238.133,238.166,1,3,3,0,1,1,1
131,Gulnisa,242.2964,256.658937,,242.2964,256.658937,,242.2962552,255.1675,,consonant,242.733,242.766,,,,,,,
132,Elise,25.58178891,25.66722433,a,25.4955,26.2455,qazaqistangha,24.7555,31.01598022,mesilen men qazaqistangha barghandichu negila barsam almati shehiride nege barsam uyghurche gep qilimen,vowel,25.6,25.633,0,5,1,0,0,2,1
