subject,word,syllable,start_time,end_time,word_len_syls,syl_position,closed_syl,is_initial,is_final,is_penultimate,is_first_heavy,is_last_heavy,preceding_heavy,following_heavy,gesture,maxf0,minf0,excursion_size,meanf0,finalf0,mean_intensity,duration,max_velocity,final_velocity,maxf0_loc_ms,maxf0_loc_ratio,minf0_loc_ms,minf0_loc_ratio
A,té.xi.mu,te,0.54,0.63,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,242.8380045686387,235.93396401342193,0.4993332719035699,240.31688851532894,249.762697713045,65.90369265177989,90.00000000000009,-10.684831034969733,-10.684831034969726,0,0,90.00000000000009,1
A,té.xi.mu,χi,0.63,0.74,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,260.6127980490303,228.44608219885689,2.2806507837217858,240.39159424511826,266.5127262996283,64.88278688823911,106.003021717766,-41.933270533149624,-40.103565313447504,70.12088116419723,0.6614988896344363,106.003021717766,1
A,té.xi.mu,mu,0.74,0.87,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,228.44608219885689,180.9830728568995,4.031987170490947,210.96364453206542,180.6966520731867,69.21858596586364,134.1044923420911,50.2074916967868,18.506691562061302,0,0,104.97629653737384,0.7827947796825979
A,kö.pey.se,kø,0.87,1.03,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,245.2859874154318,199.40102523654463,3.585503893740679,215.64773106554233,200.80496067515097,66.02349540622623,158.11126026677934,50.2074916967868,-21.497127534962104,58.03018406804128,0.36702119741584255,158.11126026677934,1
A,kö.pey.se,pɛj,1.03,1.22,3,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,200.06819586084816,184.5221503358311,1.400374022235832,192.20017338491638,189.85412283049683,67.59982109901227,191.7812256733635,12.451313087819916,-9.727582655025996,52.86805350482049,0.27566855576814325,191.7812256733635,1
A,kö.pey.se,sɛ,1.22,1.51,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,247.32598815804872,183.36483712434168,5.180362000806618,229.82539793205854,244.42849609832572,63.5673215580979,288.9623574890969,-81.99207865094155,-42.62915646569306,224.8559318948544,0.7781495619315698,3.972265264598595,0.01374665302122778
A,em.di,ɛm,1.51,1.7,2,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,219.9475438973192,146.15966886104582,7.075370647017827,160.15142817750754,149.78072030972533,68.58048416901559,191.42222341891735,-81.99207865094155,-16.911973834783343,0,0,191.42222341891735,1
A,em.di,di,1.7,1.89,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,146.15966886104582,120.97984477906856,3.273342668851316,131.19886727937507,130.34437080574654,62.87083541232505,189.61541909198564,96.6074623931223,96.21808606087232,0,0,189.61541909198564,1
A,shu,ʃu,10.61,10.75,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,336.1967523631688,267.72966155048505,3.942345665653015,286.81760780287146,282.33524391661393,63.808742947551934,140.00000000000057,87.72820964367595,-32.18540644288438,0,0,140.00000000000057,1
A,men,mɛn,10.75,10.95,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,271.4855405442637,210.5629282084756,4.399486849782921,258.48382375111925,254.4390569139726,72.26436687387601,200.00000000000108,-89.80239831840127,-85.0721198955954,142.13514843445728,0.7106757421722826,200.00000000000108,1
A,dey.men,dɛj,10.98,11.13,2,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,263.0773601857415,149.8179465627738,9.747319747011058,241.5101578272089,261.7597851621857,70.02114587160582,151.318444239541,89.65932175362934,7.577197949472345,138.67411826538677,0.9164389639498411,0,0
A,dey.men,mɛn,11.13,11.32,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,320.71309771445164,261.789336293492,3.5145233022989544,295.70895273135415,301.4308221500164,69.39167724334705,188.68155576045888,-61.186242683211574,-57.92597833479426,136.11911389327958,0.7214224694335779,0,0
A,uy.ghur,uj,11.32,11.47,2,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,271.2429228844591,231.93580553449397,2.710319281003311,236.88698423300417,240.62136751925033,68.62597098811112,150.00000000000034,-60.156048261504054,2.107635243839016,0,0,56.79022545426449,0.37860150302842904
A,uy.ghur,ʁur,11.47,11.6,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,269.17346394906673,224.52246495459207,3.140116652904984,251.24335707031085,228.4150845272445,64.39722688590032,135.16089572881106,32.53386326795193,8.989106921542248,67.93231714833681,0.5026033364312507,107.1412014743931,0.7926937809687418
A,ti.li.ni,ti,11.6,11.72,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,278.32694247340515,241.10006724669847,2.4857822061937807,254.28686968404935,249.6731953814342,62.449837501952544,117.1332858288192,-39.6177543191365,-38.93996350882801,61.95738770752257,0.528947747594721,117.1332858288192,1
A,ti.li.ni,li,11.72,11.8,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,255.8674315924317,239.32789939080564,1.1568952382353253,246.92233897166062,247.3474416464853,67.15110275667061,79.7718067282478,26.680409592656662,22.27403170368648,79.7718067282478,1,11.152505845783978,0.1398051053773462
