subject,word,syllable,start_time,end_time,word_len_syls,syl_position,closed_syl,is_initial,is_final,is_penultimate,is_first_heavy,is_last_heavy,preceding_heavy,following_heavy,gesture
A,chü.shi.ne.ley.du,ʃi,23.9384,24.037735759934748,5,1,False,False,False,False,False,False,False,True,0
A,chü.shi.ne.ley.du,nɛ,24.037735759934748,24.1984,5,2,False,False,False,False,False,False,False,True,0
A,chü.shi.ne.ley.du,lɛj,24.1984,24.3984,5,3,True,False,False,True,True,True,False,False,0
A,chü.shi.ne.ley.du,du,24.3984,24.5922,5,4,False,False,True,False,False,False,True,False,0
A,he.'e,hɛ,26.7739,26.973821483139094,2,0,False,True,False,True,False,False,False,False,0
A,he.'e,ɛ,26.973821483139094,27.15799498554614,2,1,False,False,True,False,False,False,False,False,0
A,he.'e,hɛ,29.2773,29.53607032091813,2,0,False,True,False,True,False,False,False,False,0
A,he.'e,ɛ,29.53607032091813,29.75518753818779,2,1,False,False,True,False,False,False,False,False,0
A,e.he,ɛ,31.143498920219237,31.26950882152447,2,0,False,True,False,True,False,False,False,False,0
A,e.he,hɛ,31.26950882152447,31.61253577507761,2,1,False,False,True,False,False,False,False,False,0
A,u.lar,u,32.4318,32.4818,2,0,False,True,False,True,False,False,False,True,0
A,u.lar,lar,32.4818,32.5918,2,1,True,False,True,False,True,True,False,False,0
A,hey.ran,hɛj,32.5918,32.7118,2,0,True,True,False,True,True,False,False,True,0
A,hey.ran,ran,32.7118,32.9118,2,1,True,False,True,False,False,True,True,False,0
A,qa.lam.ti,qa,32.9118,33.0318,3,0,False,True,False,False,False,False,False,True,0
A,qa.lam.ti,lam,33.0318,33.23223291405538,3,1,True,False,False,True,True,True,False,False,0
A,qa.lam.ti,ti,33.23223291405538,33.431048536114744,3,2,False,False,True,False,False,False,True,False,0
A,he.'e,hɛ,37.632883941214416,37.87605053279972,2,0,False,True,False,True,False,False,False,False,0
A,he.'e,ɛ,37.87605053279972,38.12676367377905,2,1,False,False,True,False,False,False,False,False,0
A,he.'e,hɛ,41.7458,41.8909986944572,2,0,False,True,False,True,False,False,False,False,0
A,he.'e,ɛ,41.8909986944572,42.14758137385411,2,1,False,False,True,False,False,False,False,False,0
A,chü.shi.ne.ley.siz,t͡ʃy,42.2958,42.3858,5,0,False,True,False,False,False,False,False,True,0
A,chü.shi.ne.ley.siz,ʃi,42.3858,42.4858,5,1,False,False,False,False,False,False,False,True,0
A,chü.shi.ne.ley.siz,nɛ,42.4858,42.6258,5,2,False,False,False,False,False,False,False,True,0
A,chü.shi.ne.ley.siz,lɛj,42.6258,42.7758,5,3,True,False,False,True,True,False,False,True,0
A,chü.shi.ne.ley.siz,siz,42.7758,43.1058,5,4,True,False,True,False,False,True,True,False,0
A,ye.ni,jɛ,43.1058,43.2058,2,0,False,True,False,True,False,False,False,False,0
A,ye.ni,ni,43.2058,43.3858,2,1,False,False,True,False,False,False,False,False,0
A,qa.zaq.chi.ni,qa,43.3858,43.4958,4,0,False,True,False,False,False,False,False,True,0
A,qa.zaq.chi.ni,zaq,43.4958,43.7058,4,1,True,False,False,False,True,True,False,False,0
A,qa.zaq.chi.ni,t͡ʃi,43.7058,43.7858,4,2,False,False,False,True,False,False,True,False,0
A,qa.zaq.chi.ni,ni,43.7858,43.8458,4,3,False,False,True,False,False,False,True,False,0
A,chü.shi.ne.ley.siz,t͡ʃy,43.8458,43.9558,5,0,False,True,False,False,False,False,False,True,0
A,chü.shi.ne.ley.siz,ʃi,43.9558,44.013681098235935,5,1,False,False,False,False,False,False,False,True,0
A,chü.shi.ne.ley.siz,nɛ,44.013681098235935,44.1958,5,2,False,False,False,False,False,False,False,True,0
A,chü.shi.ne.ley.siz,lɛj,44.1958,44.3058,5,3,True,False,False,True,True,False,False,True,0
A,chü.shi.ne.ley.siz,siz,44.3058,44.4058,5,4,True,False,True,False,False,True,True,False,0
A,shu,ʃu,49.3929,49.7129,1,0,False,True,True,False,False,False,False,False,0
A,qa.za.qis.tan.gha,qa,49.7129,49.8229,5,0,False,True,False,False,False,False,False,True,0
A,qa.za.qis.tan.gha,za,49.8229,49.9429,5,1,False,False,False,False,False,False,False,True,0
A,qa.za.qis.tan.gha,qis,49.9429,50.0329,5,2,True,False,False,False,True,False,False,True,0
A,qa.za.qis.tan.gha,tan,50.0329,50.2029,5,3,True,False,False,True,False,True,True,False,0
A,qa.za.qis.tan.gha,ʁa,50.2029,50.304992441627896,5,4,False,False,True,False,False,False,True,False,0
A,bar.ghan.da,bar,50.304992441627896,50.4629,3,0,True,True,False,False,True,False,False,True,0
A,bar.ghan.da,ʁan,50.4629,50.6929,3,1,True,False,False,True,False,True,True,False,0
A,bar.ghan.da,da,50.6929,50.90804126971785,3,2,False,False,True,False,False,False,True,False,0
A,u.lar,u,50.90804126971785,51.00456343531487,2,0,False,True,False,True,False,False,False,True,0
A,u.lar,lar,51.00456343531487,51.1629,2,1,True,False,True,False,True,True,False,False,0
A,siz.ge,siz,51.1629,51.3229,2,0,True,True,False,True,True,True,False,False,0
A,siz.ge,ɡɛ,51.3229,51.418536278875436,2,1,False,False,True,False,False,False,True,False,0
A,siz.ge,siz,51.904087886248576,52.13194169194972,2,0,True,True,False,True,True,True,False,False,0
A,siz.ge,ɡɛ,52.13194169194972,52.3429,2,1,False,False,True,False,False,False,True,False,0
A,rus.che,rus,52.3429,52.4829,2,0,True,True,False,True,True,True,False,False,0
A,rus.che,t͡ʃɛ,52.4829,52.5829,2,1,False,False,True,False,False,False,True,False,0
A,söz.li.di.mu,søz,52.5829,52.7929,4,0,True,True,False,False,True,True,False,False,0
A,söz.li.di.mu,li,52.7929,52.8929,4,1,False,False,False,False,False,False,True,False,0
A,söz.li.di.mu,di,52.8929,53.0129,4,2,False,False,False,True,False,False,True,False,0
A,söz.li.di.mu,mu,53.0129,53.0937,4,3,False,False,True,False,False,False,True,False,0
A,ké.yin,ke,60.3035,60.3635,2,0,False,True,False,True,False,False,False,True,0
A,ké.yin,jin,60.3635,60.4735,2,1,True,False,True,False,True,True,False,False,0
A,siz,siz,60.4735,60.6835,1,0,True,True,True,False,True,True,False,False,0
A,men,mɛn,60.6835,60.9635,1,0,True,True,True,False,True,True,False,False,0
A,a.mé.ri.ki.liq,a,61.14460212840813,61.2435,5,0,False,True,False,False,False,False,False,True,0
A,a.mé.ri.ki.liq,me,61.2435,61.4035,5,1,False,False,False,False,False,False,False,True,0
A,a.mé.ri.ki.liq,ri,61.4035,61.5335,5,2,False,False,False,False,False,False,False,True,0
A,a.mé.ri.ki.liq,ki,61.5335,61.5935,5,3,False,False,False,True,False,False,False,True,0
A,a.mé.ri.ki.liq,liq,61.5935,62.06608057404141,5,4,True,False,True,False,True,True,False,False,0
A,dep,dɛp,62.06608057404141,62.3735,1,0,True,True,True,False,True,True,False,False,0
A,uy.ghur.che,uj,62.3735,62.4835,3,0,True,True,False,False,True,False,False,True,0
A,uy.ghur.che,ʁur,62.4835,62.6035,3,1,True,False,False,True,False,True,True,False,0
A,uy.ghur.che,t͡ʃɛ,62.6035,62.6635,3,2,False,False,True,False,False,False,True,False,0
A,söz.li.si.ngiz,søz,62.6635,62.7535,4,0,True,True,False,False,True,False,False,True,0
A,söz.li.si.ngiz,li,62.7535,62.8735,4,1,False,False,False,False,False,False,True,True,0
A,söz.li.si.ngiz,si,62.8735,62.9935,4,2,False,False,False,True,False,False,True,True,0
A,söz.li.si.ngiz,ŋiz,62.9935,63.1435,4,3,True,False,True,False,False,True,True,False,0
A,u.lar,u,63.1435,63.2135,2,0,False,True,False,True,False,False,False,True,0
A,u.lar,lar,63.2135,63.3335,2,1,True,False,True,False,True,True,False,False,0
A,hey.ran,hɛj,63.3335,63.5535,2,0,True,True,False,True,True,False,False,True,0
A,hey.ran,ran,63.5535,63.7035,2,1,True,False,True,False,False,True,True,False,0
A,qal.ghan.du,qal,63.7035,63.9135,3,0,True,True,False,False,True,False,False,True,0
A,qal.ghan.du,ʁan,63.9135,64.1435,3,1,True,False,False,True,False,True,True,False,0
A,qal.ghan.du,du,64.1435,64.3535,3,2,False,False,True,False,False,False,True,False,0
A,him,him,67.595,68.22862130736992,1,0,True,True,True,False,True,True,False,False,0
A,rast,rast,69.51930621388571,69.8278,1,0,True,True,True,False,True,True,False,False,0
A,siz,siz,69.8278,70.06103805451029,1,0,True,True,True,False,True,True,False,False,0
A,shu,ʃu,70.06103805451029,70.2378,1,0,False,True,True,False,False,False,False,False,0
A,bir,bir,70.2378,70.4378,1,0,True,True,True,False,True,True,False,False,0
A,ül.ge,yl,70.5078,70.6178,2,0,True,True,False,True,True,True,False,False,0
A,ül.ge,ɡɛ,70.6178,71.0178,2,1,False,False,True,False,False,False,True,False,0
A,pe.qet,pɛ,71.0478,71.1278,2,0,False,True,False,True,False,False,False,True,0
A,pe.qet,qɛt,71.1278,71.3478,2,1,True,False,True,False,True,True,False,False,0
A,shu,ʃu,71.3478,71.4978,1,0,False,True,True,False,False,False,False,False,0
A,chet.'el.lik.ler,t͡ʃɛt,71.4978,71.7478,4,0,True,True,False,False,True,False,False,True,0
A,chet.'el.lik.ler,ɛl,71.7478,71.8578,4,1,True,False,False,False,False,False,True,True,0
A,chet.'el.lik.ler,lik,71.8578,72.0778,4,2,True,False,False,True,False,False,True,True,0
A,chet.'el.lik.ler,lɛr,72.0778,72.1878,4,3,True,False,True,False,False,True,True,False,0
A,ü.chün.le,y,72.1878,72.2178,3,0,False,True,False,False,False,False,False,True,0
A,ü.chün.le,t͡ʃyn,72.2178,72.39248893278823,3,1,True,False,False,True,True,True,False,False,0
A,ü.chün.le,lɛ,72.39248893278823,72.44237653449083,3,2,False,False,True,False,False,False,True,False,0
A,e.mes,ɛ,72.44237653449083,72.45818018550017,2,0,False,True,False,True,False,False,False,True,0
A,e.mes,mɛs,72.45818018550017,72.6678,2,1,True,False,True,False,True,True,False,False,0
A,uy.ghur.lar,uj,72.6678,72.7878,3,0,True,True,False,False,True,False,False,True,0
A,uy.ghur.lar,ʁur,72.7878,72.9278,3,1,True,False,False,True,False,False,True,True,0
A,uy.ghur.lar,lar,72.9278,73.1278,3,2,True,False,True,False,False,True,True,False,0
A,ü.chün.mu,y,73.1278,73.2178,3,0,False,True,False,False,False,False,False,True,0
A,ü.chün.mu,t͡ʃyn,73.2178,73.4178,3,1,True,False,False,True,True,True,False,False,0
A,ü.chün.mu,mu,73.4178,73.6978,3,2,False,False,True,False,False,False,True,False,0
A,hem.mi.si,hɛm,73.9878,74.1478,3,0,True,True,False,False,True,True,False,False,0
A,hem.mi.si,mi,74.1478,74.2078,3,1,False,False,False,True,False,False,True,False,0
A,hem.mi.si,si,74.2078,74.3178,3,2,False,False,True,False,False,False,True,False,0
A,a.shun.daq,a,74.3178,74.3578,3,0,False,True,False,False,False,False,False,True,0
A,a.shun.daq,ʃun,74.3578,74.4878,3,1,True,False,False,True,True,False,False,True,0
A,a.shun.daq,daq,74.4878,74.5778,3,2,True,False,True,False,False,True,True,False,0
A,dey.du,dɛj,74.5778,74.7678,2,0,True,True,False,True,True,True,False,False,0
A,dey.du,du,74.7678,74.9427,2,1,False,False,True,False,False,False,True,False,0
A,ma.na,ma,75.328,75.458,2,0,False,True,False,True,False,False,False,False,0
A,ma.na,na,75.458,75.748,2,1,False,False,True,False,False,False,False,False,0
A,ma.na,ma,76.60830699993318,76.75270063134556,2,0,False,True,False,True,False,False,False,False,0
A,ma.na,na,76.75270063134556,77.12553791842531,2,1,False,False,True,False,False,False,False,False,0
