Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl
Elise (C),189.6821,189.7421,p,189.5421,189.7421,كېلىپ,188.6323812,190.9227153,لېكىن مانا ئامېرىكىغا كېلىپ دەرس ئۆتىۋاتىمەن مانا,consonant,189.733,189.766,1,2,,,
Elise (C),192.5386,192.6386,ʃ,192.4486,192.9086,پىشانىغا,192.1865,192.449031,,consonant,192.566,192.6,0,4,,,
Elise (C),192.8686,192.9086,a,192.4486,192.9086,پىشانىغا,192.1865,192.449031,,vowel,192.9,192.933,,,,,
Elise (C),194.9314,195.0014,p,194.7314,195.0014,ئوقۇپ,194.3708317,198.7214,ئاشۇنداق ئوقۇپ قويساڭلار بىر كۈنى ئەمەس بىر كۈنى شۇ پايدىسى تېگىپ قالىدۇ,consonant,194.933,194.966,1,2,,,
Elise (C),196.1714,196.2514,k,196.1714,196.3614,كۈنى,194.3708317,198.7214,ئاشۇنداق ئوقۇپ قويساڭلار بىر كۈنى ئەمەس بىر كۈنى شۇ پايدىسى تېگىپ قالىدۇ,consonant,196.2,196.233,0,2,,,
Elise (C),196.7214,196.8114,k,196.7214,196.9014,كۈنى,194.3708317,198.7214,ئاشۇنداق ئوقۇپ قويساڭلار بىر كۈنى ئەمەس بىر كۈنى شۇ پايدىسى تېگىپ قالىدۇ,consonant,196.733,196.766,0,2,,,
Elise (C),197.0114,197.1722312,u,196.9014,197.1722312,شۇ,194.3708317,198.7214,ئاشۇنداق ئوقۇپ قويساڭلار بىر كۈنى ئەمەس بىر كۈنى شۇ پايدىسى تېگىپ قالىدۇ,vowel,197.166,197.2,1,1,,,
Elise (C),199.1321,199.2421,z,199.0321,199.2421,بىز,199.0317335,202.0621,بىز بىلمەيمىز كەلگۈسىدە مەسىلەن سىلەر,consonant,199.2,199.233,1,1,,,
Elise (C),200.2121,200.2921,ɛ,200.1221,200.9421,كەلگۈسىدە,199.0317335,202.0621,بىز بىلمەيمىز كەلگۈسىدە مەسىلەن سىلەر,consonant,200.233,200.266,,,,,
Elise (C),200.6621,200.9421,ɛ,200.1221,200.9421,كەلگۈسىدە,199.0317335,202.0621,بىز بىلمەيمىز كەلگۈسىدە مەسىلەن سىلەر,consonant,200.666,200.7,,,,,
Elise (C),201.4321,201.4721,l,201.1921,201.5821,مەسىلەن,199.0317335,202.0621,بىز بىلمەيمىز كەلگۈسىدە مەسىلەن سىلەر,consonant,201.433,201.466,1,3,,,
Elise (C),201.9121,202.0621,r,201.5821,202.0621,سىلەر,199.0317335,202.0621,بىز بىلمەيمىز كەلگۈسىدە مەسىلەن سىلەر,consonant,201.966,202,1,2,,,
Elise (C),202.3643,202.5543,b,202.3643,202.7443,بىزنىڭ,202.0621,202.3649543,,consonant,202.5,202.533,0,2,,,
