rowLabel	maxf0	minf0	excursion_size	meanf0	finalf0	mean_intensity	duration	max_velocity	final_velocity	maxf0_loc_ms	maxf0_loc_ratio	minf0_loc_ms	minf0_loc_ratio
him	217.49882657005588	172.67309104586457	3.995572118215806	205.9836550353145	196.08325134551927	62.75321732371653	453.0106399233276	-28.345673214423694	-12.318825881253044	110.39278456943168	0.2436869575251384	0	0
hɛ	306.2089925323234	177.73016312929	9.417937262296306	215.02982736121194	246.312629763511	60.619553387898236	151.97034066583905	-118.47014015825093	-117.01776995037662	107.20648400193866	0.7054434670095945	0	0
ɛ	200.02983684202127	177.83682871626198	2.035933013864417	192.9031231389746	199.94926580875307	64.13409932945734	136.3189102318163	21.374151109001993	11.165835725587996	118.20601323010216	0.8671285079163826	8.017622325793283	0.05881518794537724
øz	249.52587973556788	199.67752004420709	3.858210383091091	224.2696216489788	232.50544120253133	72.0085830062044	312.15934063835425	63.87988724976342	-44.415690452238195	37.54809325469388	0.12028502231555661	0	0
bek	246.9424323272504	202.31471925128375	3.450881656955792	229.11523036352682	239.07591599824966	68.14160165198886	219.7651351605092	51.71934735547269	-3.477990397120888	105.19507669146044	0.47867045250207424	18.173844543373008	0.08269666855982152
t͡ʃi	237.15798707686483	217.03624068781295	1.534949914807612	222.25574374741132	220.4647517335595	66.82949784739745	169.99999999999994	15.47179528081003	15.03888978580244	0	0	107.18046319976793	0.6304733129398116
ni	233.7166431581484	227.84416863593745	0.44055631322151356	229.45721366432602	228.12658358175054	70.46567385885025	80.00000000000007	3.874779116793066	2.813145464440996	0	0	50.2252062964299	0.6278150787053732
mu	233.2757981304522	230.09110159183345	0.23797737400536612	231.67410955586743	232.73039613617468	70.98302290367373	209.9999999999991	-43.45872741150419	-43.448727411502276	125.61223664279986	0.598153507822859	92.63519741829818	0.4411199877061837
hɛ	198.03179335544883	110.90723339747085	10.036543288338862	123.78836401332812	193.58794874556662	67.0763993828461	286.7745963395265	-159.8793413334223	12.53067251424466	286.7745963395265	1	78.49006027050365	0.2736994882823422
ɛ	201.8532083671518	149.83180359290438	5.159551588961162	178.07423890090942	174.98620944022093	65.14901622994431	206.1927505549761	-62.11560706746908	1.5062823824273561	8.13834729961016	0.039469609274358435	57.15201430212957	0.2771776124441942
hɛ	207.61663199772383	111.38747838331993	10.780019521467226	182.12777923245625	112.38543611862141	62.31617137424833	156.51430434023084	-165.8271058609692	31.10055126669812	64.25509122739115	0.41053813897874414	120.12256626402973	0.7674861845400869
ɛ	175.7731461273714	125.7365916666306	5.799721401494697	169.11820464689166	160.7834512326088	62.06820088839499	319.08722691299477	83.74388508240953	-28.130079397040493	72.40187724210045	0.22690308835784959	0	0
mɛ	240.2637423779522	122.62840764275848	11.643908689532825	213.08554459631864	220.49858791568747	66.3868101160945	100.00000000000142	174.46866617180467	-13.267115608441246	42.91388903797255	0.4291388903797194	0	0
si	241.28605838618907	209.92284521536476	2.4106245535775894	223.2214694709438	243.64573050630537	61.67743192518125	129.999999999999	29.64925874915773	-17.74371985990545	97.77299378887605	0.7520999522221292	18.204718255056207	0.1400362942696642
lɛn	228.40655696106856	212.90217453322356	1.2169605854300087	217.89418516510995	213.43700246659304	64.51047233894738	120.000000000001	-17.971932517655553	-3.0288107031464406	0	0	103.21249221235007	0.8601041017695767
